Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
18319725125,"Apr 30, 2026, 1:23:16 PM",Morning Ride,Ride,,3543,10.73,148.0,11,false,,Frankenbike ,activities/19423370305.fit.gz,,7.257,3543.0,2694.0,10730.5,11.38,3.983,238.0,120.0,268.0,373.6,33.7,0.3,,,101.0,54.0,148.0,116.0,,71.0,255.0,,18.0,11.0,192843.0,,,,,,,,100.0,3178.0,,,0.0,,1.0,,1777554000.0,3.0,14.0,10.5,8.0,0.67,1011.5,4.1,4.1,294.0,0.0,1777544660.0,1777594022.0,0.375,16818783.0,,0.0,1.0,0.91,30038.0,1.0,,,,,,3.029,0.0,,,,,0.0,,19.0,47.0,,,,,,,,,,,,,""
18311358633,"Apr 29, 2026, 6:11:12 PM",Afternoon Ride 💧☔️🌧️🌦️,Ride,"",8631,38.84,168.0,66,false,,Frankenbike ,activities/19414944625.fit.gz,,7.257,8631.0,6522.0,38839.7,15.24,5.955,453.0,429.0,240.8,350.0,20.5,0.0,,,128.0,66.0,168.0,130.0,,112.0,872.0,,17.0,66.0,721828.0,,,,,,,,146.0,8081.0,,,0.0,,1.0,,1777485600.0,3.0,16.3,17.1,15.0,0.92,1009.9,0.2,2.7,116.0,0.0,1777458331.0,1777507567.0,0.375,16818783.0,,0.87,5.0,0.97,15509.0,4.0,,,,,,4.5,0.0,,,,,0.0,,106.0,69.0,,,,0.0,0.0,,,,0.0,,,,""
18297962442,"Apr 28, 2026, 5:33:12 PM",Afternoon Ride,Ride,"",13239,75.84,178.0,309,false,,Frankenbike ,activities/19401441264.fit.gz,,7.257,13239.0,10878.0,75844.0,18.2,6.972,1288.0,1291.0,229.6,421.4,33.3,0.0,,,119.0,80.0,178.0,150.0,,145.0,1834.0,,18.0,309.0,1581922.0,,,,,,,,179.0,11973.0,,,0.0,,1.0,,1777395600.0,3.0,15.4,12.1,10.4,0.72,1018.1,4.1,4.1,203.0,0.0,1777372002.0,1777421113.0,0.375,16818783.0,,0.92,5.0,0.99,19528.0,4.0,,,,,,5.729,0.0,,,,,0.0,,234.0,84.0,,,,0.0,0.0,,,,0.0,,,,media/3CE6CA4E-E6BB-4F5C-BBB0-E42621797F70.jpg
18283999177,"Apr 27, 2026, 7:39:23 PM",Afternoon Ride,Ride,"",5845,41.07,176.0,130,false,,Frankenbike ,activities/19387394804.fit.gz,,7.257,5845.0,5289.0,41075.3,17.74,7.766,528.0,529.0,216.4,311.8,12.6,0.0,,,108.0,80.0,176.0,146.0,,146.0,895.0,,24.0,130.0,772224.0,,,,,,,,183.0,5328.0,,,0.0,,1.0,,1777316400.0,1.0,20.1,20.8,5.0,0.37,1021.1,3.0,4.6,111.0,0.0,1777285680.0,1777334662.0,0.375,16818783.0,,0.0,1.0,0.02,46742.0,7.0,,,,,,7.027,0.0,,,,,0.0,,109.0,86.0,,,,0.0,0.0,,,,0.0,,,,""
18223339471,"Apr 23, 2026, 9:06:44 AM",Fayette,Ride,"",4500,41.75,146.0,46,false,,ZRide,activities/19326127187.tcx.gz,,18.144,4500.0,4500.0,41755.2,10.0,9.279,0.0,0.0,0.0,0.0,0.0,0.0,,,96.0,89.0,146.0,133.0,,133.0,594.0,,,46.0,,,,,,,,,137.0,4501.0,,,0.0,,1.0,,,,,,,,,,,,,,,,16925543.0,,,,,,,,,,,,9.279,0.0,,,,,0.0,,51.0,64.0,,,,0.0,0.0,,,,0.0,,,,media/e655c2ec-6faa-4df9-8e63-cadcda2b8026.jpg
18209469029,"Apr 22, 2026, 9:17:21 AM",Grassy Ridge +2,Ride,"",3600,32.55,167.0,65,false,,ZRide,activities/19312173990.tcx.gz,,18.144,3600.0,3600.0,32553.7,10.28,9.043,0.0,0.0,0.0,0.0,0.0,0.0,,,99.0,87.0,167.0,141.0,,150.0,492.0,,,65.0,,,,,,,,,170.0,3601.0,,,0.0,,1.0,,,,,,,,,,,,,,,,16925543.0,,,,,,,,,,,,9.043,0.0,,,,,0.0,,63.0,80.0,,,,0.0,0.0,,,,0.0,,,,media/a444babb-5714-4ed5-91ac-5640b7f1bbec.jpg
18161537949,"Apr 18, 2026, 12:07:38 PM",Flèche Buffoon ‘26,Ride,"",17423,95.32,179.0,377,false,"",Frankenbike ,activities/19263813812.fit.gz,,7.257,17423.0,15570.0,95320.5,17.5,6.122,1539.0,1532.0,29.8,179.4,24.8,0.0,,,109.0,79.0,179.0,147.0,,140.0,2542.0,,20.0,377.0,2180722.0,,,,,,,,174.0,16309.0,0.0,,0.0,,1.0,,1776513600.0,3.0,12.6,13.2,10.6,0.88,1017.9,0.7,2.9,110.0,0.0,1776507421.0,1776555729.0,0.125,16818783.0,,0.0,1.0,0.84,6204.0,1.0,,,,,,5.471,0.0,,,,,0.0,,303.0,82.0,,,,0.0,0.0,,,,0.0,,,,media/F6560AAD-2FC5-4E3B-BF54-0E89E8CB9229.jpg|media/ED31003E-A050-4712-AA0D-CFC2C4527C03.jpg|media/de759cc2-fcf4-4fa0-af88-ed5b80c166ac.jpg
18110844844,"Apr 14, 2026, 9:17:31 PM",Totten Key,Ride,"",2700,25.21,126.0,10,false,,ZRide,activities/19212704086.tcx.gz,,18.144,2700.0,2700.0,25210.6,9.84,9.337,0.0,0.0,0.0,0.0,0.0,0.0,,,95.0,90.0,126.0,120.0,,112.0,299.0,,,10.0,,,,,,,,,112.0,2701.0,,,0.0,,1.0,,,,,,,,,,,,,,,,16925543.0,,,,,,,,,,,,9.337,0.0,,,,,0.0,,20.0,53.0,,,,0.0,0.0,,,,0.0,,,,media/8cce66da-55eb-4672-aba6-c6423636beb0.jpg
18082167345,"Apr 12, 2026, 12:28:57 PM",Morning Ride,Ride,"",12794,80.52,166.0,130,false,,Frankenbike ,activities/19183813774.fit.gz,,7.257,12794.0,10698.0,80526.8,14.16,7.527,587.0,587.0,6.2,50.0,20.0,0.0,,,108.0,77.0,166.0,134.0,,140.0,1731.0,,13.0,130.0,1482007.0,,,,,,,,156.0,11899.0,,,0.0,,1.0,,1775995200.0,1.0,7.4,8.4,-0.1,0.59,1033.3,2.5,5.8,56.0,0.0,1775989367.0,1776036753.0,0.875,16818783.0,,0.0,1.0,0.03,36257.0,1.0,,,,,,6.294,1637.6,,,,,0.0,,176.0,73.0,,,,0.0,0.0,,,,0.0,,,,""
18065586958,"Apr 11, 2026, 10:28:29 AM",Morning Ride,Ride,"",7159,53.56,164.0,175,false,,Brooklyn ,activities/19167024608.fit.gz,,7.348,7159.0,6785.0,53561.2,14.84,7.894,410.0,413.0,0.0,73.4,20.0,0.0,,,108.0,85.0,164.0,149.0,,178.0,1368.0,,11.0,175.0,1203419.0,,,,,,,,184.0,7125.0,,,0.0,,1.0,,1775901600.0,1.0,10.7,8.9,6.1,0.73,1020.6,2.1,3.7,317.0,0.0,1775903048.0,1775950279.0,0.875,12333719.0,,0.0,1.0,0.16,23348.0,0.0,,,,,,7.482,0.0,,,,,0.0,,147.0,86.0,,,,0.0,0.0,,,,0.0,,,,media/E868B6EB-A9EF-44BC-8278-3F029237A8A6.jpg
